mode,cf,process_time,0.015375375747680664,matrix_w,[[-0.004044628213481517|-1.0582708018033282e-05|0.0017205184479764254|0.009342277043709631]|[0.001685525151885912|7.997937579506996e-05|-0.010757596746240734|0.003191860960696001]|[-0.01836677585678837|0.006473066507532641|0.01342942650570357|0.002134371856903103]|[0.0021928722262377076|0.013312215462641473|-0.006428369821684601|-0.0004460765045761262]],
mode,cf,process_time,0.0547482967376709,matrix_w,[[-0.01754304301092634|0.011579525714836628|-0.016641405565830828|0.019542035188763365]|[-0.004566291629956666|-0.00542386484028397|0.006884974557417933|0.003103587020977249]|[0.003327201888859468|-0.006093337058463197|0.00939613190210353|-0.010660341979797344]|[-0.002797214928232942|0.012402515090739466|-0.002203497268291604|0.0024397148665555946]],
mode,cf,process_time,0.06435799598693848,matrix_w,[[-0.0007061671777733706|-0.00508933416714418|0.012887244340841784|-0.0018041611973621417]|[-0.011276177864548927|-0.004295157607903894|0.009121113320594941|0.005287067248298189]|[-0.001014513716363795|0.009779135361479932|0.0005313008103889566|-0.015763471906110847]|[-0.0012139214977064505|-0.02147224353479853|0.007916663289401911|0.010012368452487166]],
mode,cf,process_time,0.06978631019592285,matrix_w,[[-0.004044628213481517|-1.0582708018033282e-05|0.0017205184479764254|0.009342277043709631]|[0.001685525151885912|7.997937579506996e-05|-0.010757596746240734|0.003191860960696001]|[-0.01836677585678837|0.006473066507532641|0.01342942650570357|0.002134371856903103]|[0.0021928722262377076|0.013312215462641473|-0.006428369821684601|-0.0004460765045761262]],
mode,cf,process_time,0.010743379592895508,matrix_w,[[-0.01754304301092634|0.011579525714836628|-0.016641405565830828|0.019542035188763365]|[-0.004566291629956666|-0.00542386484028397|0.006884974557417933|0.003103587020977249]|[0.003327201888859468|-0.006093337058463197|0.00939613190210353|-0.010660341979797344]|[-0.002797214928232942|0.012402515090739466|-0.002203497268291604|0.0024397148665555946]],
mode,cf,process_time,0.017783641815185547,matrix_w,[[-0.0008402974727615791|-0.007527624590480449|0.02027914910168372|-0.006943631417628727]|[-0.01434147061781532|0.0018406067260184867|-0.002625581881297274|0.0016761948808847182]|[-0.0026118458018820675|0.012488107037318962|-0.0017906128094856734|-0.004512108382185234]|[-0.0068041663779321955|0.0012385798693778658|-0.012181213606693702|0.013068851812093139]],
mode,cf,process_time,0.09812235832214355,matrix_w,[[-0.002340132294734326|0.06149575157365638|-0.1596333840352749|0.10374465939073241]|[-0.01010248352698363|-0.006990329700772832|0.017973233435168733|-0.011410495760963063]|[-0.005818284066244435|0.04273723568544362|-0.09916023493380158|0.07008801278967543]|[0.0008122462196712236|-0.010712699536230412|0.0543859466747212|-0.046437459482113946]],
mode,cf,process_time,0.16242027282714844,matrix_w,[[0.00920349522369715|-0.0036983851333990455|-0.004670133209315714|0.0029362527214937977]|[-0.009729068312828605|-0.0051491089859327524|-0.001235386077706204|0.008320625458255855]|[0.0011457679399572767|-0.003086347852568927|0.006169155352698167|0.006489873957691064]|[-0.006587808173787228|0.012335640520057011|-0.015179675094400167|0.014784020774591553]],
mode,cf,process_time,0.02492070198059082,matrix_w,[[-0.0007061671777733773|-0.005089334167144159|0.012887244340841778|-0.0018041611973621443]|[-0.01127617786454892|-0.004295157607903942|0.009121113320594947|0.005287067248298209]|[-0.0010145137163637928|0.009779135361479943|0.0005313008103889549|-0.015763471906110854]|[-0.001213921497706417|-0.021472243534798523|0.0079166632894019|0.010012368452487142]],
mode,cf,process_time,0.06148934364318848,matrix_w,[[-0.0007061671777734981|-0.005089334167144305|0.012887244340841923|-0.0018041611973620567]|[-0.011276177864548962|-0.004295157607904717|0.009121113320595106|0.005287067248298695]|[-0.0010145137163638808|0.009779135361479932|0.0005313008103890156|-0.015763471906110833]|[-0.001213921497706031|-0.021472243534798333|0.007916663289401521|0.010012368452486958]],
mode,cf,process_time,0.08123397827148438,matrix_w,[[-0.0007061671777733706|-0.00508933416714418|0.012887244340841784|-0.0018041611973621417]|[-0.011276177864548927|-0.004295157607903894|0.009121113320594941|0.005287067248298189]|[-0.001014513716363795|0.009779135361479932|0.0005313008103889566|-0.015763471906110847]|[-0.0012139214977064505|-0.02147224353479853|0.007916663289401911|0.010012368452487166]],
